---- ICPC Presentation Admin (2.3.491) ----
OS:  Windows 10 (amd64/10.0)
JRE: Oracle Corporation (11.0.11)
Folder: C:\Users\diego\Documents\GitHub\DomJudgeTools\1. presentationAdmin
Host: roca12red / 172.19.92.7
Locale/TZ: es_CO / hora estándar de Colombia
Args: https://localhost:8443 presAdmin padm1n 
Log started 2022.06.11 09:08.07

2022.06.11 09:15.45 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.49 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":44,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.53 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":46,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:15.57 I < {"type":"ping"}
2022.06.11 09:15.57 I > {"type":"ping"}
2022.06.11 09:15.57 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":45,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.01 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":46,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.05 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":46,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.09 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":47,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.13 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":39,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.17 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.21 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":49,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.25 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.27 I < {"type":"ping"}
2022.06.11 09:16.27 I > {"type":"ping"}
2022.06.11 09:16.29 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.33 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.37 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":61,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.41 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":50,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.45 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.49 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.53 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":49,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:16.57 I < {"type":"ping"}
2022.06.11 09:16.57 I > {"type":"ping"}
2022.06.11 09:16.57 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":56,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.01 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.05 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":54,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.09 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.13 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.17 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.21 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.25 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":59,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.27 I < {"type":"ping"}
2022.06.11 09:17.27 I > {"type":"ping"}
2022.06.11 09:17.29 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":53,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.33 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":60,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.37 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.41 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":55,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.45 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":58,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.49 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":57,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.53 I < {"type":"info","source":"d437099f","presentation":"PolarCountdownPresentation","fps":52,"image":"/9j/4AAQSkZJRgABAgAAA...
2022.06.11 09:17.57 I < {"type":"ping"}
2022.06.11 09:17.57 I > {"type":"ping"}
